filename,report_title,section,sentence,label,units,predictedlabel
wasde0622.xls,WASDE - 625,COTTON,"A 1.0-million-bale drop in India’s crop accounts for most of the production change, with lower yield expectations in Brazil accounting for the remainder.",C,"A 1.0-million-bale drop in India’s crop accounts for most of the production change,",e
wasde0622.xls,WASDE - 625,COTTON,"A 1.0-million-bale drop in India’s crop accounts for most of the production change, with lower yield expectations in Brazil accounting for the remainder.",P,with lower yield expectations in Brazil accounting for the remainder.,e
wasde1220.xls,WASDE - 607,COTTON,"A 2.2-million-bale decline in global production is led by lower U.S. output and includes 500,000-bale reductions in both India and Pakistan, in addition to other smaller adjustments.",C,A 2.2-million-bale decline in global production is led by lower U.S. output,e
wasde1220.xls,WASDE - 607,COTTON,"A 2.2-million-bale decline in global production is led by lower U.S. output and includes 500,000-bale reductions in both India and Pakistan, in addition to other smaller adjustments.",E,"and includes 500,000-bale reductions in both India and Pakistan,",e
wasde1220.xls,WASDE - 607,COTTON,"A 2.2-million-bale decline in global production is led by lower U.S. output and includes 500,000-bale reductions in both India and Pakistan, in addition to other smaller adjustments.",P,in addition to other smaller adjustments.,e
wasde0422.xls,WASDE - 623,COTTON,"A 300,000-bale decline in both China’s and Pakistan’s import forecasts are only partly offset by a 150,000-bale increase for Turkey.",C,"A 300,000-bale decline in both China’s and Pakistan’s import forecasts",e
wasde0422.xls,WASDE - 623,COTTON,"A 300,000-bale decline in both China’s and Pakistan’s import forecasts are only partly offset by a 150,000-bale increase for Turkey.",P,"are only partly offset by a 150,000-bale increase for Turkey.",e
wasde0322.xls,WASDE - 622,COTTON,"A 300,000-bale decrease in production accounts for some of this change, but most of the decline stems from lower beginning stocks, reflecting updated Indian consumption estimates for 2019/20 and 2020/21 to reflect Indian government sources.",P,"A 300,000-bale decrease in production accounts for some of this change,",e
wasde0322.xls,WASDE - 622,COTTON,"A 300,000-bale decrease in production accounts for some of this change, but most of the decline stems from lower beginning stocks, reflecting updated Indian consumption estimates for 2019/20 and 2020/21 to reflect Indian government sources.",P,"but most of the decline stems from lower beginning stocks,",p
wasde0322.xls,WASDE - 622,COTTON,"A 300,000-bale decrease in production accounts for some of this change, but most of the decline stems from lower beginning stocks, reflecting updated Indian consumption estimates for 2019/20 and 2020/21 to reflect Indian government sources.",E,reflecting updated Indian consumption estimates for 2019/20 and 2020/21 to reflect Indian government sources.,e
wasde0422.xls,WASDE - 623,COTTON,"A 500,000-bale decline in China’s expected consumption resulted in a similar decline in the global estimate, which now stands at 124.1 million.",P,"A 500,000-bale decline in China’s expected consumption resulted in a similar decline in the global estimate,",e
wasde0422.xls,WASDE - 623,COTTON,"A 500,000-bale decline in China’s expected consumption resulted in a similar decline in the global estimate, which now stands at 124.1 million.",E,which now stands at 124.1 million.,e
wasde0122.xls,WASDE - 620,COTTON,"A 500,000-bale decline in China’s expected imports more than offsets a 200,000-bale increase for Pakistan, and smaller changes elsewhere.",P,"A 500,000-bale decline in China’s expected imports more than offsets a 200,000-bale increase for Pakistan,",e
wasde0122.xls,WASDE - 620,COTTON,"A 500,000-bale decline in China’s expected imports more than offsets a 200,000-bale increase for Pakistan, and smaller changes elsewhere.",P,and smaller changes elsewhere.,e
wasde1221.xls,WASDE - 619,SUGAR,"A cane refiner decreased its raw sugar imports for August by 26,295 short tons, raw value (STRV), implying the same sized reduction in ending stocks to 1,701,915.",E,"A cane refiner decreased its raw sugar imports for August by 26,295 short tons, raw value (STRV),",e
wasde1221.xls,WASDE - 619,SUGAR,"A cane refiner decreased its raw sugar imports for August by 26,295 short tons, raw value (STRV), implying the same sized reduction in ending stocks to 1,701,915.",C,"implying the same sized reduction in ending stocks to 1,701,915.",c
wasde0425v2.xls,WASDE - 659,SUGAR,A decrease in the pace is posited as more likely than an increase or unchanged due to historically high current levels of refined beet and cane sugar that could increase competition for refined high-tier from the domestically produced product.,C,A decrease in the pace is posited as more likely than an increase or unchanged,c
wasde0425v2.xls,WASDE - 659,SUGAR,A decrease in the pace is posited as more likely than an increase or unchanged due to historically high current levels of refined beet and cane sugar that could increase competition for refined high-tier from the domestically produced product.,P,due to historically high current levels of refined beet and cane sugar,e
wasde0425v2.xls,WASDE - 659,SUGAR,A decrease in the pace is posited as more likely than an increase or unchanged due to historically high current levels of refined beet and cane sugar that could increase competition for refined high-tier from the domestically produced product.,P,that could increase competition for refined high-tier from the domestically produced product.,p
wasde0921.xls,WASDE - 616,COTTON,"A higher season-average farm price for upland cotton is also expected, up 4 cents per pound from last month to 84 cents.",C,"A higher season-average farm price for upland cotton is also expected,",c
wasde0921.xls,WASDE - 616,COTTON,"A higher season-average farm price for upland cotton is also expected, up 4 cents per pound from last month to 84 cents.",E,up 4 cents per pound from last month to 84 cents.,e
wasde0422.xls,WASDE - 623,OILSEEDS,A lower soybean meal export forecast is offset by slightly higher domestic disappearance.,P,A lower soybean meal export forecast is offset,c
